ISD-AS,IP,Port,Payload
17-ffaa:0:111b,943675728,60371,{"NonceB":2179616626}
17-ffaa:0:111a,1218605736,53976,{"NonceB":1682396000}
17-ffaa:0:111b,206109315,58028,{"NonceB":3436803587}
17-ffaa:0:111b,2588920695,64074,{"NonceB":394027888}
17-ffaa:0:1117,321206847,25342,{"NonceB":3250665772}
17-ffaa:0:111a,2608256394,27213,{"NonceB":1400168876}
17-ffaa:0:111b,532548591,2212,{"NonceB":3966971624}
17-ffaa:0:111a,2644325347,15892,{"NonceB":4016908636}
17-ffaa:0:1118,978466554,56077,{"NonceB":2781013333}
17-ffaa:0:1118,2669435353,4919,{"NonceB":1752834514}
17-ffaa:0:1117,3920473355,23996,{"NonceB":3754095573}
17-ffaa:0:1117,2944698578,30830,{"NonceB":2921877659}
17-ffaa:0:1117,42844547,40089,{"NonceB":4157569437}
17-ffaa:0:1117,3466919730,54318,{"NonceB":4218520433}
17-ffaa:0:111b,356493811,47925,{"NonceB":234693835}
17-ffaa:0:1118,2719725179,3598,{"NonceB":1052076788}
17-ffaa:0:111a,3928046321,35693,{"NonceB":3083747252}
17-ffaa:0:111b,3903457508,8438,{"NonceB":2034694707}
17-ffaa:0:1117,1043480534,14886,{"NonceB":1786435871}
17-ffaa:0:111a,2735245562,12138,{"NonceB":2535240037}
17-ffaa:0:111a,549479000,43835,{"NonceB":422406489}
17-ffaa:0:111a,3352900159,22052,{"NonceB":3868282208}
17-ffaa:0:1118,1025009979,17714,{"NonceB":684871143}
17-ffaa:0:111b,3015903002,16682,{"NonceB":3122258767}
17-ffaa:0:111b,2246295249,33917,{"NonceB":953299097}
17-ffaa:0:111b,726503092,34264,{"NonceB":2156785447}
17-ffaa:0:111a,1204647431,63558,{"NonceB":1048262111}
17-ffaa:0:111b,457568624,34676,{"NonceB":487639917}
17-ffaa:0:111a,3026703489,36727,{"NonceB":3602113720}
17-ffaa:0:111a,174315690,16634,{"NonceB":3529447200}
17-ffaa:0:111a,4258086687,3389,{"NonceB":1324134125}
17-ffaa:0:111a,3565840232,56184,{"NonceB":1282933516}
17-ffaa:0:1117,2700169308,54511,{"NonceB":714987625}
17-ffaa:0:1117,2121998764,27900,{"NonceB":703187270}
17-ffaa:0:111a,2727459590,24325,{"NonceB":2316942254}
17-ffaa:0:111b,3384221131,20652,{"NonceB":3178882592}
17-ffaa:0:1118,1292750750,28153,{"NonceB":1830168517}
17-ffaa:0:111a,1112910409,6091,{"NonceB":1740545536}
17-ffaa:0:111b,145282563,50150,{"NonceB":751955443}
17-ffaa:0:1117,3772727568,33775,{"NonceB":4000060749}
17-ffaa:0:111b,399791254,41171,{"NonceB":2333704715}
17-ffaa:0:111a,1944099303,22673,{"NonceB":1702628695}
17-ffaa:0:1118,1207526082,21395,{"NonceB":1998887439}
17-ffaa:0:1118,3552551044,47836,{"NonceB":1539508597}
17-ffaa:0:1118,2252190839,32333,{"NonceB":3782204762}
17-ffaa:0:111b,446187214,30716,{"NonceB":2990992226}
17-ffaa:0:111a,2017283851,41665,{"NonceB":1804016481}
17-ffaa:0:1117,2788270879,40979,{"NonceB":1143614372}
17-ffaa:0:1118,3846207896,44029,{"NonceB":2303684789}
17-ffaa:0:111a,3236975066,20947,{"NonceB":179930403}
17-ffaa:0:1117,321970607,49704,{"NonceB":319519243}
17-ffaa:0:1117,1493016569,37740,{"NonceB":1765874532}
17-ffaa:0:1118,586806298,56273,{"NonceB":3566940025}
17-ffaa:0:1117,1454363322,48114,{"NonceB":822693201}
17-ffaa:0:111b,48741551,30767,{"NonceB":292158572}
17-ffaa:0:111b,3215259268,12528,{"NonceB":986639216}
17-ffaa:0:111a,3180247349,52409,{"NonceB":434089255}
17-ffaa:0:111b,3603335063,16816,{"NonceB":2535518649}
17-ffaa:0:111b,2347608995,8909,{"NonceB":4277232736}
17-ffaa:0:111b,4210617983,58302,{"NonceB":48627387}
17-ffaa:0:1118,4129360605,26029,{"NonceB":1552837174}
17-ffaa:0:111a,534824769,46046,{"NonceB":1843544673}
17-ffaa:0:111a,1345335399,53618,{"NonceB":2203052913}
17-ffaa:0:1118,3487795239,28688,{"NonceB":3824718583}
17-ffaa:0:111b,470711178,38751,{"NonceB":2116018777}
17-ffaa:0:111b,3781526879,7473,{"NonceB":3642715565}
17-ffaa:0:1117,3629341425,37622,{"NonceB":2451263579}
17-ffaa:0:111a,3448494173,32670,{"NonceB":3844348189}
17-ffaa:0:1117,1813415388,39653,{"NonceB":4013019831}
17-ffaa:0:111a,2812119102,35248,{"NonceB":277603437}
17-ffaa:0:111b,598177140,20597,{"NonceB":4252529629}
17-ffaa:0:1118,1119945836,34148,{"NonceB":1198618826}
17-ffaa:0:1117,1244099598,35524,{"NonceB":3604157074}
17-ffaa:0:111b,313612770,61167,{"NonceB":993083523}
17-ffaa:0:1117,303780235,43132,{"NonceB":425421971}
17-ffaa:0:111b,2209121631,54174,{"NonceB":391564751}
17-ffaa:0:111a,1641286610,9346,{"NonceB":4247275931}
17-ffaa:0:111a,3056422050,64244,{"NonceB":1171032933}
17-ffaa:0:1118,1112669367,64087,{"NonceB":2644581269}
17-ffaa:0:111b,732429654,40419,{"NonceB":3207147575}
17-ffaa:0:111b,86774429,46696,{"NonceB":3415800157}
17-ffaa:0:111b,5767751,8397,{"NonceB":1784565709}
17-ffaa:0:1117,484816658,36623,{"NonceB":3512293185}
17-ffaa:0:1118,1455370037,48496,{"NonceB":3040748906}
17-ffaa:0:111b,1273556879,11397,{"NonceB":3267029163}
17-ffaa:0:1118,2371582512,13634,{"NonceB":3368707085}
17-ffaa:0:111a,1353808745,5019,{"NonceB":3535116027}
17-ffaa:0:1117,757577151,64410,{"NonceB":2454159552}
17-ffaa:0:111b,51289800,38314,{"NonceB":3885076096}
17-ffaa:0:111a,2958881710,61641,{"NonceB":4151329946}
17-ffaa:0:111b,1245969426,5287,{"NonceB":3605694438}
17-ffaa:0:111a,2456586944,31730,{"NonceB":972266346}
17-ffaa:0:111b,2735788517,35013,{"NonceB":3205306035}
17-ffaa:0:1118,1897117855,32880,{"NonceB":1536849724}
17-ffaa:0:111a,1743596062,14196,{"NonceB":2326123675}
17-ffaa:0:1118,4150827186,42507,{"NonceB":1824206449}
17-ffaa:0:111a,1107889936,18209,{"NonceB":3199326224}
17-ffaa:0:1118,157087676,57245,{"NonceB":3895726017}
17-ffaa:0:111b,18233115,52131,{"NonceB":826051442}
17-ffaa:0:111b,3955608726,8167,{"NonceB":2588581533}
17-ffaa:0:111b,1243433454,49840,{"NonceB":3709644389}
17-ffaa:0:111b,253266592,11399,{"NonceB":1083925566}
17-ffaa:0:1117,3888654090,54261,{"NonceB":11521061}
17-ffaa:0:1118,551263027,43486,{"NonceB":647364802}
17-ffaa:0:111b,1450215098,60103,{"NonceB":1035783630}
17-ffaa:0:1117,1733926821,54105,{"NonceB":3293278939}
17-ffaa:0:1117,634210939,62582,{"NonceB":1407510663}
17-ffaa:0:111b,1726937609,54273,{"NonceB":3177573896}
17-ffaa:0:1118,3648651712,18025,{"NonceB":1326592190}
17-ffaa:0:111a,1973731531,7591,{"NonceB":1566779502}
17-ffaa:0:111b,4268301889,23616,{"NonceB":3736028095}
17-ffaa:0:1117,2244917375,54135,{"NonceB":3919219921}
17-ffaa:0:1118,4097361176,63500,{"NonceB":3104737406}
17-ffaa:0:111b,1808561823,23376,{"NonceB":1599637872}
17-ffaa:0:1118,1780521866,9967,{"NonceB":307195009}
17-ffaa:0:111b,3446221366,4348,{"NonceB":895594980}
17-ffaa:0:111b,1418685099,28642,{"NonceB":2480318660}
17-ffaa:0:111a,2434101871,58175,{"NonceB":4088574370}
17-ffaa:0:1118,2175708575,61126,{"NonceB":1870307163}
17-ffaa:0:111b,19861692,25758,{"NonceB":2742892141}
17-ffaa:0:111a,260110966,29444,{"NonceB":2683750092}
17-ffaa:0:111b,4095868562,44031,{"NonceB":2798112384}
17-ffaa:0:111b,1279118793,50632,{"NonceB":4222861620}
